Users	2015-12-01T10:28:00.157Z	2015-11-30T23:10:18.669Z	2015-11-29T23:37:19.706Z	2015-11-28T12:12:18.872Z
1st_panzer_division	12	12	9	7
aarohmankad	9	9	9	9
aashiamehta	0	0	0	0
abenezer_mamo	67	67	67	67
ad510	346	346	346	346
alexb	6685	6604	6472	6401
alexwong	2	2	2	2
allison	75	75	75	75
allyson	0	0	0	0
amedina2016	0	0	0	0
amir	86	86	86	84
amirt01	16	16	16	16
amitsin6h	51	51	35	33
amysorto	311	309	308	306
an.ng.huynh	31	31	31	31
applejack	47	43	43	43
applemaster	36	36	36	36
asso	10	10	10	10
bogdan_vitoc	405	405	405	405
bot-jonathan	17	17	17	17
briann	73	73	71	69
bwmaniac	25	25	25	25
c	2340	2218	0	0
cathy	21	21	21	21
cbarbosa2016	0	0	0	0
chaoyi		0	2136	2085
conrad	19	19	19	19
dan	139	139	139	139
dannysaur	14	14	14	14
darrylyeo	0	0	0	0
ddollar	7	7	7	7
doglover101	1467	1416	1416	1410
edjiang	5	5	5	5
ful_potatis	3	3	3	3
gemma	120	115	112	112
gialonk	23	23	23	23
hardmath123	1911	1847	1836	1825
harrison	4394	4314	4293	4269
hellyeah	2575	2570	2570	2569
janetfang	12	12	12	12
jasmine_lovesadipose	323	304	304	304
jensslack123	4	4	4	4
jessica	34	34	34	34
jevin	350	349	343	340
jiahaok	77	77	77	77
jlin0104	99	98	98	98
jonl	3205	3124	3099	3099
jonwlee	58	58	58	58
josh	8	8	8	8
justinyu	26	26	26	26
kern	0	0	0	0
krizia.araracap	8	8	8	8
ktsai	10	10	10	10
leilaaimee	1337	1280	1270	1268
mahahahajan	185	185	185	185
metmets	345	341	315	297
mhesby	1366	1293	1271	1271
msw	1668	1579	1557	1504
phillip	17	17	17	17
rafe	8	8	8	8
renee	7	7	7	7
rodney	5	5	5	5
saescapa	298	282	281	249
salamander1012	29	29	29	29
sely	3609	3586	3579	3566
seth	181	174	126	106
shane	109	109	109	109
slackin	0	0	0	0
sneharamapo	0	0	0	0
tejas	185	185	185	184
teresa	46	46	46	46
thebigch33se	12	12	12	12
thethirdone	65	65	64	54
udit	117	117	115	112
vaibhav	212	212	199	199
victor	38	38	26	26
whelton	230	230	230	230
yash	8	8	8	8
yashweek	4	4	4	4
zachcmiel	119	119	111	107
zrl	5840	5686	5597	5580
